GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",606,252,235,87,19,10,0,3
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",493,189,195,68,27,10,3,1
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",431,176,189,46,18,1,1,0
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",351,118,123,49,34,8,9,10
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",282,112,105,35,16,6,5,3
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",458,163,176,88,16,4,5,6
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",278,80,95,53,28,14,4,4
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",463,164,189,70,25,8,5,2
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",654,272,253,71,37,11,1,9
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",496,214,187,70,18,7,0,0
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1167,575,458,88,32,10,2,2
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",431,186,149,54,35,4,3,0
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",449,195,153,59,26,9,3,4
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",339,126,126,51,17,7,7,5
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",577,227,208,89,33,10,5,5
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",358,130,91,66,34,13,9,15
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",501,204,135,81,36,21,8,16
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",654,326,228,65,22,8,2,3
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",647,346,239,43,13,4,1,1
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",761,438,266,39,15,2,1,0
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",791,268,183,149,92,55,27,17
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",379,166,101,52,30,15,10,5
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",439,132,138,90,44,21,7,7
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",696,398,220,48,17,10,2,1
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",903,488,337,67,8,1,2,0
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",1562,1017,440,60,30,11,2,2
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",364,296,53,5,3,4,2,1
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",187,30,35,25,30,26,16,25
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",376,80,115,57,49,33,25,17
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",256,70,86,38,24,14,8,16
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",182,37,30,29,28,23,12,23
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",142,15,29,27,29,16,10,16
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",248,102,78,29,20,9,7,3
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",251,51,95,46,20,16,9,14
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",292,66,99,52,25,26,11,13
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",199,41,40,44,31,22,7,14
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",232,51,57,60,26,22,6,10
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",467,155,153,78,45,15,8,13
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",259,120,74,42,16,4,3,0
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",342,177,74,45,24,10,6,6
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",364,64,84,75,53,41,29,18
1500000US245100701002,245100701002,"Block Group 2, Census Tract 701, Baltimore city, Maryland",499,73,100,104,93,53,35,41
1500000US245100702001,245100702001,"Block Group 1, Census Tract 702, Baltimore city, Maryland",180,31,37,49,27,19,8,9
1500000US245100702002,245100702002,"Block Group 2, Census Tract 702, Baltimore city, Maryland",287,36,59,65,61,34,19,13
1500000US245100702003,245100702003,"Block Group 3, Census Tract 702, Baltimore city, Maryland",251,31,53,48,38,36,19,26
1500000US245100702004,245100702004,"Block Group 4, Census Tract 702, Baltimore city, Maryland",177,38,33,32,39,17,12,6
1500000US245100702005,245100702005,"Block Group 5, Census Tract 702, Baltimore city, Maryland",215,35,45,46,35,30,14,10
1500000US245100703001,245100703001,"Block Group 1, Census Tract 703, Baltimore city, Maryland",209,46,68,43,14,15,11,12
1500000US245100703002,245100703002,"Block Group 2, Census Tract 703, Baltimore city, Maryland",120,30,21,19,14,12,11,13
1500000US245100704001,245100704001,"Block Group 1, Census Tract 704, Baltimore city, Maryland",56,14,17,10,4,3,2,6
1500000US245100704002,245100704002,"Block Group 2, Census Tract 704, Baltimore city, Maryland",186,136,39,7,3,1,0,0
1500000US245100704003,245100704003,"Block Group 3, Census Tract 704, Baltimore city, Maryland",283,62,75,65,42,19,11,9
1500000US245100801011,245100801011,"Block Group 1, Census Tract 801.01, Baltimore city, Maryland",265,55,99,46,43,15,7,0
1500000US245100801012,245100801012,"Block Group 2, Census Tract 801.01, Baltimore city, Maryland",307,55,91,69,51,26,9,6
1500000US245100801013,245100801013,"Block Group 3, Census Tract 801.01, Baltimore city, Maryland",397,80,78,90,63,43,18,25
1500000US245100801014,245100801014,"Block Group 4, Census Tract 801.01, Baltimore city, Maryland",343,74,95,75,36,29,18,16
1500000US245100801021,245100801021,"Block Group 1, Census Tract 801.02, Baltimore city, Maryland",283,55,69,50,46,27,12,24
1500000US245100801022,245100801022,"Block Group 2, Census Tract 801.02, Baltimore city, Maryland",500,92,112,110,81,54,28,23
1500000US245100802001,245100802001,"Block Group 1, Census Tract 802, Baltimore city, Maryland",166,64,37,23,17,17,1,7
1500000US245100802002,245100802002,"Block Group 2, Census Tract 802, Baltimore city, Maryland",184,41,47,31,22,18,9,16
1500000US245100802003,245100802003,"Block Group 3, Census Tract 802, Baltimore city, Maryland",220,79,54,33,21,16,9,8
1500000US245100803011,245100803011,"Block Group 1, Census Tract 803.01, Baltimore city, Maryland",154,30,43,38,18,13,8,4
1500000US245100803012,245100803012,"Block Group 2, Census Tract 803.01, Baltimore city, Maryland",308,70,76,55,44,31,16,16
1500000US245100803013,245100803013,"Block Group 3, Census Tract 803.01, Baltimore city, Maryland",238,47,79,50,21,12,16,13
1500000US245100803021,245100803021,"Block Group 1, Census Tract 803.02, Baltimore city, Maryland",202,77,54,33,19,12,3,4
1500000US245100803022,245100803022,"Block Group 2, Census Tract 803.02, Baltimore city, Maryland",241,67,73,47,29,17,3,5
1500000US245100803023,245100803023,"Block Group 3, Census Tract 803.02, Baltimore city, Maryland",285,51,72,63,48,27,18,6
1500000US245100803024,245100803024,"Block Group 4, Census Tract 803.02, Baltimore city, Maryland",454,196,122,54,40,29,6,7
1500000US245100804001,245100804001,"Block Group 1, Census Tract 804, Baltimore city, Maryland",244,60,53,46,34,20,19,12
1500000US245100804002,245100804002,"Block Group 2, Census Tract 804, Baltimore city, Maryland",290,114,68,32,36,18,16,6
1500000US245100805001,245100805001,"Block Group 1, Census Tract 805, Baltimore city, Maryland",163,31,28,34,32,18,10,10
