GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",57266,6724
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",55146,9663
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",50703,16985
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",31259,11455
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",40102,10493
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",51345,5485
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",39468,9060
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",50518,11270
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",66099,17672
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",48841,7113
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",83015,13446
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",46235,5775
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",49903,9806
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",51803,13910
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",47170,6153
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",33329,5902
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",31251,4774
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",67783,22770
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",65754,13634
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",67182,16858
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",9958,3117
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",17216,5610
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",30260,7410
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",78482,19788
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",54825,15446
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",34394,6182
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",16295,4471
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",12273,5894
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",19812,5658
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",31717,9543
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",24574,5984
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",27167,15972
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",32541,13132
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",41803,11457
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",30702,10259
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",13608,8609
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",17199,4503
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",42155,5960
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",21126,10331
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",24992,5604
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",13387,4285
1500000US245100701002,245100701002,"Block Group 2, Census Tract 701, Baltimore city, Maryland",11439,2573
1500000US245100702001,245100702001,"Block Group 1, Census Tract 702, Baltimore city, Maryland",16771,6935
1500000US245100702002,245100702002,"Block Group 2, Census Tract 702, Baltimore city, Maryland",10809,3434
1500000US245100702003,245100702003,"Block Group 3, Census Tract 702, Baltimore city, Maryland",11793,2419
1500000US245100702004,245100702004,"Block Group 4, Census Tract 702, Baltimore city, Maryland",10771,5795
1500000US245100702005,245100702005,"Block Group 5, Census Tract 702, Baltimore city, Maryland",15370,6772
1500000US245100703001,245100703001,"Block Group 1, Census Tract 703, Baltimore city, Maryland",7323,3376
1500000US245100703002,245100703002,"Block Group 2, Census Tract 703, Baltimore city, Maryland",17140,10230
1500000US245100704001,245100704001,"Block Group 1, Census Tract 704, Baltimore city, Maryland",17789,6323
1500000US245100704002,245100704002,"Block Group 2, Census Tract 704, Baltimore city, Maryland",12151,2213
1500000US245100704003,245100704003,"Block Group 3, Census Tract 704, Baltimore city, Maryland",12554,2601
1500000US245100801011,245100801011,"Block Group 1, Census Tract 801.01, Baltimore city, Maryland",41175,7236
1500000US245100801012,245100801012,"Block Group 2, Census Tract 801.01, Baltimore city, Maryland",24976,6739
1500000US245100801013,245100801013,"Block Group 3, Census Tract 801.01, Baltimore city, Maryland",16433,4667
1500000US245100801014,245100801014,"Block Group 4, Census Tract 801.01, Baltimore city, Maryland",24574,8527
1500000US245100801021,245100801021,"Block Group 1, Census Tract 801.02, Baltimore city, Maryland",16207,4041
1500000US245100801022,245100801022,"Block Group 2, Census Tract 801.02, Baltimore city, Maryland",17449,3467
1500000US245100802001,245100802001,"Block Group 1, Census Tract 802, Baltimore city, Maryland",20451,3509
1500000US245100802002,245100802002,"Block Group 2, Census Tract 802, Baltimore city, Maryland",13058,4452
1500000US245100802003,245100802003,"Block Group 3, Census Tract 802, Baltimore city, Maryland",17646,3337
1500000US245100803011,245100803011,"Block Group 1, Census Tract 803.01, Baltimore city, Maryland",10936,2844
