GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
D001,Total:
D002,Family households:
D003,Family households: - Husband-wife family
D004,Family households: - Other family:
D005,"Family households: - Other family: - Male householder, no wife present"
D006,"Family households: - Other family: - Female householder, no husband present"
D007,Nonfamily households:
D008,Nonfamily households: - Householder living alone
D009,Nonfamily households: - Householder not living alone
