GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US245100101001,245100101001,"Block Group 1, Census Tract 101, Baltimore city, Maryland",1176,200,1060,190,0,12,0,12,100,109,0,12,0,12,16,19,0,12,16,19
1500000US245100101002,245100101002,"Block Group 2, Census Tract 101, Baltimore city, Maryland",886,155,827,160,19,22,0,12,19,18,0,12,0,12,21,24,0,12,21,24
1500000US245100101003,245100101003,"Block Group 3, Census Tract 101, Baltimore city, Maryland",977,281,869,252,100,62,0,12,0,12,0,12,0,12,8,12,0,12,8,12
1500000US245100102001,245100102001,"Block Group 1, Census Tract 102, Baltimore city, Maryland",1111,420,700,244,330,297,0,12,12,18,0,12,69,85,0,12,0,12,0,12
1500000US245100102002,245100102002,"Block Group 2, Census Tract 102, Baltimore city, Maryland",680,192,486,127,39,46,0,12,16,26,0,12,112,142,27,37,7,16,20,33
1500000US245100102003,245100102003,"Block Group 3, Census Tract 102, Baltimore city, Maryland",983,253,950,264,27,47,0,12,6,10,0,12,0,12,0,12,0,12,0,12
1500000US245100102004,245100102004,"Block Group 4, Census Tract 102, Baltimore city, Maryland",518,298,514,298,0,12,0,12,0,12,0,12,0,12,4,8,4,8,0,12
1500000US245100103001,245100103001,"Block Group 1, Census Tract 103, Baltimore city, Maryland",1099,256,991,212,0,12,0,12,8,12,0,12,100,154,0,12,0,12,0,12
1500000US245100103002,245100103002,"Block Group 2, Census Tract 103, Baltimore city, Maryland",1455,233,1328,231,27,30,0,12,44,42,0,12,8,12,48,54,0,12,48,54
1500000US245100104001,245100104001,"Block Group 1, Census Tract 104, Baltimore city, Maryland",840,186,750,173,24,35,0,12,42,51,0,12,0,12,24,32,0,12,24,32
1500000US245100104002,245100104002,"Block Group 2, Census Tract 104, Baltimore city, Maryland",1535,233,1351,227,27,25,10,18,89,60,0,12,36,33,22,25,0,12,22,25
1500000US245100105001,245100105001,"Block Group 1, Census Tract 105, Baltimore city, Maryland",789,134,714,130,34,25,0,12,13,13,0,12,28,40,0,12,0,12,0,12
1500000US245100105002,245100105002,"Block Group 2, Census Tract 105, Baltimore city, Maryland",906,127,828,129,47,53,0,12,13,12,0,12,9,10,9,14,0,12,9,14
1500000US245100201001,245100201001,"Block Group 1, Census Tract 201, Baltimore city, Maryland",698,136,526,143,143,72,0,12,23,23,0,12,6,8,0,12,0,12,0,12
1500000US245100201002,245100201002,"Block Group 2, Census Tract 201, Baltimore city, Maryland",1255,238,945,155,4,8,10,14,35,19,0,12,127,201,134,88,0,12,134,88
1500000US245100202001,245100202001,"Block Group 1, Census Tract 202, Baltimore city, Maryland",659,149,268,86,253,120,10,15,41,36,0,12,41,46,46,40,0,12,46,40
1500000US245100202002,245100202002,"Block Group 2, Census Tract 202, Baltimore city, Maryland",1277,272,1142,279,19,29,0,12,85,47,0,12,23,35,8,12,0,12,8,12
1500000US245100203001,245100203001,"Block Group 1, Census Tract 203, Baltimore city, Maryland",1342,379,1298,370,0,12,0,12,44,54,0,12,0,12,0,12,0,12,0,12
1500000US245100203002,245100203002,"Block Group 2, Census Tract 203, Baltimore city, Maryland",975,238,838,228,0,12,0,12,107,100,0,12,0,12,30,34,0,12,30,34
1500000US245100203003,245100203003,"Block Group 3, Census Tract 203, Baltimore city, Maryland",1633,332,1114,307,37,61,0,12,79,71,0,12,389,97,14,21,0,12,14,21
1500000US245100301001,245100301001,"Block Group 1, Census Tract 301, Baltimore city, Maryland",2117,502,516,402,1552,357,0,12,0,12,0,12,49,76,0,12,0,12,0,12
1500000US245100301002,245100301002,"Block Group 2, Census Tract 301, Baltimore city, Maryland",1223,456,88,60,1012,465,9,18,27,47,0,12,87,134,0,12,0,12,0,12
1500000US245100302001,245100302001,"Block Group 1, Census Tract 302, Baltimore city, Maryland",1299,260,490,147,718,205,0,12,71,56,0,12,0,12,20,28,0,12,20,28
1500000US245100302002,245100302002,"Block Group 2, Census Tract 302, Baltimore city, Maryland",1019,203,780,186,27,44,0,12,175,102,0,12,11,17,26,32,0,12,26,32
1500000US245100401001,245100401001,"Block Group 1, Census Tract 401, Baltimore city, Maryland",1615,364,1172,324,205,164,0,12,110,79,0,12,111,120,17,27,0,12,17,27
1500000US245100401002,245100401002,"Block Group 2, Census Tract 401, Baltimore city, Maryland",1888,311,929,202,377,151,19,33,494,257,0,12,0,12,69,82,0,12,69,82
1500000US245100402001,245100402001,"Block Group 1, Census Tract 402, Baltimore city, Maryland",886,171,411,94,284,72,1,2,98,54,0,12,26,51,66,59,0,12,66,59
1500000US245100601001,245100601001,"Block Group 1, Census Tract 601, Baltimore city, Maryland",619,252,46,53,455,242,0,12,0,12,0,12,118,125,0,12,0,12,0,12
1500000US245100601002,245100601002,"Block Group 2, Census Tract 601, Baltimore city, Maryland",902,254,518,201,257,137,2,4,6,10,0,12,40,64,79,79,0,12,79,79
1500000US245100601003,245100601003,"Block Group 3, Census Tract 601, Baltimore city, Maryland",726,231,510,200,191,136,0,12,12,16,0,12,0,12,13,15,0,12,13,15
1500000US245100601004,245100601004,"Block Group 4, Census Tract 601, Baltimore city, Maryland",610,280,53,43,481,270,14,21,0,12,0,12,53,76,9,14,0,12,9,14
1500000US245100602001,245100602001,"Block Group 1, Census Tract 602, Baltimore city, Maryland",169,102,22,34,87,85,0,12,0,12,0,12,9,14,51,76,0,12,51,76
1500000US245100602002,245100602002,"Block Group 2, Census Tract 602, Baltimore city, Maryland",642,282,449,181,176,215,0,12,17,19,0,12,0,12,0,12,0,12,0,12
1500000US245100602003,245100602003,"Block Group 3, Census Tract 602, Baltimore city, Maryland",637,216,424,126,196,194,0,12,0,12,0,12,0,12,17,27,0,12,17,27
1500000US245100602004,245100602004,"Block Group 4, Census Tract 602, Baltimore city, Maryland",827,326,521,290,295,236,0,12,0,12,0,12,0,12,11,18,0,12,11,18
1500000US245100602005,245100602005,"Block Group 5, Census Tract 602, Baltimore city, Maryland",1040,504,173,144,807,475,0,12,0,12,0,12,0,12,60,93,0,12,60,93
1500000US245100603001,245100603001,"Block Group 1, Census Tract 603, Baltimore city, Maryland",786,182,182,114,600,165,0,12,4,8,0,12,0,12,0,12,0,12,0,12
1500000US245100603002,245100603002,"Block Group 2, Census Tract 603, Baltimore city, Maryland",1013,153,582,91,283,94,0,12,55,38,0,12,12,13,81,66,0,12,81,66
1500000US245100604001,245100604001,"Block Group 1, Census Tract 604, Baltimore city, Maryland",702,247,184,150,484,260,8,11,26,19,0,12,0,12,0,12,0,12,0,12
1500000US245100604002,245100604002,"Block Group 2, Census Tract 604, Baltimore city, Maryland",707,178,131,76,566,175,0,12,4,6,0,12,0,12,6,10,6,10,0,12
1500000US245100701001,245100701001,"Block Group 1, Census Tract 701, Baltimore city, Maryland",1288,425,65,91,1194,419,0,12,0,12,0,12,24,39,5,8,0,12,5,8
1500000US245100701002,245100701002,"Block Group 2, Census Tract 701, Baltimore city, Maryland",1961,467,204,196,1593,380,0,12,0,12,0,12,133,139,31,38,0,12,31,38
1500000US245100702001,245100702001,"Block Group 1, Census Tract 702, Baltimore city, Maryland",329,160,0,12,329,160,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100702002,245100702002,"Block Group 2, Census Tract 702, Baltimore city, Maryland",583,210,21,23,554,204,0,12,8,12,0,12,0,12,0,12,0,12,0,12
1500000US245100702003,245100702003,"Block Group 3, Census Tract 702, Baltimore city, Maryland",1150,362,12,19,1047,338,0,12,0,12,0,12,91,130,0,12,0,12,0,12
1500000US245100702004,245100702004,"Block Group 4, Census Tract 702, Baltimore city, Maryland",586,250,0,12,536,247,8,13,0,12,0,12,42,64,0,12,0,12,0,12
1500000US245100702005,245100702005,"Block Group 5, Census Tract 702, Baltimore city, Maryland",405,160,0,12,395,160,0,12,0,12,0,12,0,12,10,14,0,12,10,14
1500000US245100703001,245100703001,"Block Group 1, Census Tract 703, Baltimore city, Maryland",634,193,7,11,627,194,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100703002,245100703002,"Block Group 2, Census Tract 703, Baltimore city, Maryland",268,110,66,81,202,92,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100704001,245100704001,"Block Group 1, Census Tract 704, Baltimore city, Maryland",203,77,35,24,86,55,0,12,82,46,0,12,0,12,0,12,0,12,0,12
1500000US245100704002,245100704002,"Block Group 2, Census Tract 704, Baltimore city, Maryland",243,64,13,21,230,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100704003,245100704003,"Block Group 3, Census Tract 704, Baltimore city, Maryland",913,166,20,23,853,167,0,12,38,56,0,12,0,12,2,5,0,12,2,5
1500000US245100801011,245100801011,"Block Group 1, Census Tract 801.01, Baltimore city, Maryland",722,144,548,124,89,71,0,12,31,18,0,12,0,12,54,58,0,12,54,58
1500000US245100801012,245100801012,"Block Group 2, Census Tract 801.01, Baltimore city, Maryland",1070,385,100,58,970,394,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100801013,245100801013,"Block Group 3, Census Tract 801.01, Baltimore city, Maryland",1066,339,7,13,936,339,0,12,0,12,0,12,11,21,112,120,0,12,112,120
1500000US245100801014,245100801014,"Block Group 4, Census Tract 801.01, Baltimore city, Maryland",918,292,100,78,818,300,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100801021,245100801021,"Block Group 1, Census Tract 801.02, Baltimore city, Maryland",830,261,16,29,800,259,0,12,14,20,0,12,0,12,0,12,0,12,0,12
1500000US245100801022,245100801022,"Block Group 2, Census Tract 801.02, Baltimore city, Maryland",1074,231,16,20,1053,228,0,12,5,9,0,12,0,12,0,12,0,12,0,12
1500000US245100802001,245100802001,"Block Group 1, Census Tract 802, Baltimore city, Maryland",500,167,0,12,500,167,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100802002,245100802002,"Block Group 2, Census Tract 802, Baltimore city, Maryland",525,181,0,12,525,181,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100802003,245100802003,"Block Group 3, Census Tract 802, Baltimore city, Maryland",568,195,0,12,568,195,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100803011,245100803011,"Block Group 1, Census Tract 803.01, Baltimore city, Maryland",314,118,0,12,314,118,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100803012,245100803012,"Block Group 2, Census Tract 803.01, Baltimore city, Maryland",602,162,22,19,575,160,0,12,0,12,0,12,0,12,5,8,0,12,5,8
1500000US245100803013,245100803013,"Block Group 3, Census Tract 803.01, Baltimore city, Maryland",701,180,20,16,669,180,5,9,0,12,0,12,2,4,5,7,0,12,5,7
1500000US245100803021,245100803021,"Block Group 1, Census Tract 803.02, Baltimore city, Maryland",387,357,13,19,374,363,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100803022,245100803022,"Block Group 2, Census Tract 803.02, Baltimore city, Maryland",415,205,0,12,415,205,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100803023,245100803023,"Block Group 3, Census Tract 803.02, Baltimore city, Maryland",815,477,0,12,760,449,0,12,0,12,0,12,0,12,55,107,0,12,55,107
1500000US245100803024,245100803024,"Block Group 4, Census Tract 803.02, Baltimore city, Maryland",807,318,14,23,752,305,0,12,6,9,0,12,35,53,0,12,0,12,0,12
1500000US245100804001,245100804001,"Block Group 1, Census Tract 804, Baltimore city, Maryland",481,279,106,163,375,227,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100804002,245100804002,"Block Group 2, Census Tract 804, Baltimore city, Maryland",515,174,103,92,394,164,0,12,0,12,0,12,12,29,6,10,0,12,6,10
1500000US245100805001,245100805001,"Block Group 1, Census Tract 805, Baltimore city, Maryland",559,166,0,12,559,166,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100805002,245100805002,"Block Group 2, Census Tract 805, Baltimore city, Maryland",456,192,0,12,438,191,0,12,0,12,0,12,18,27,0,12,0,12,0,12
1500000US245100805003,245100805003,"Block Group 3, Census Tract 805, Baltimore city, Maryland",768,217,0,12,768,217,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100806001,245100806001,"Block Group 1, Census Tract 806, Baltimore city, Maryland",404,138,0,12,404,138,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100806002,245100806002,"Block Group 2, Census Tract 806, Baltimore city, Maryland",595,211,14,19,564,213,0,12,0,12,0,12,0,12,17,28,0,12,17,28
1500000US245100806003,245100806003,"Block Group 3, Census Tract 806, Baltimore city, Maryland",623,286,0,12,605,281,18,28,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100806004,245100806004,"Block Group 4, Census Tract 806, Baltimore city, Maryland",706,199,27,28,679,207,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100807001,245100807001,"Block Group 1, Census Tract 807, Baltimore city, Maryland",443,109,3,5,440,109,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100807002,245100807002,"Block Group 2, Census Tract 807, Baltimore city, Maryland",300,183,0,12,300,183,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US245100808001,245100808001,"Block Group 1, Census Tract 808, Baltimore city, Maryland",173,135,10,14,96,94,0,12,0,12,0,12,67,101,0,12,0,12,0,12
1500000US245100808002,245100808002,"Block Group 2, Census Tract 808, Baltimore city, Maryland",890,181,52,56,838,173,0,12,0,12,0,12,0,12,0,12,0,12,0,12
